355.0-005.0   2   1.45   6.85
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   2.34   9.10
025.0-035.0   3   3.89   4.60
035.0-045.0   4   1.05   8.55
045.0-055.0   6   1.50   8.02
055.0-065.0   7   1.79   5.83
065.0-075.0   4   0.87   6.38
075.0-085.0   6   2.02   3.90
085.0-095.0   9   1.97   4.89
095.0-105.0   5   1.52   4.94
105.0-115.0   5   1.54   5.20
115.0-125.0   5   3.69   6.76
125.0-135.0   4   1.14   6.68
135.0-145.0   1    N/A   9.50
145.0-155.0   1    N/A  16.80
155.0-165.0   2   3.10  11.10
165.0-175.0   1    N/A   9.20
175.0-185.0   1    N/A   6.90
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   1.44   8.27
205.0-215.0   3   1.10   6.23
215.0-225.0   2   2.10   3.60
225.0-235.0   6   3.65   5.62
235.0-245.0   6   2.36   6.12
245.0-255.0   6   1.54  11.77
255.0-265.0   5   2.11  12.34
265.0-275.0   9   1.80  10.63
275.0-285.0   5   2.95   8.44
285.0-295.0   6   3.11   9.12
295.0-305.0   5   1.58  11.34
305.0-315.0   5   0.67  10.72
315.0-325.0   1    N/A  14.20
325.0-335.0   1    N/A  12.60
335.0-345.0   1    N/A  11.20
345.0-355.0   1    N/A   9.10
