355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A   8.30
025.0-035.0   1    N/A   9.00
035.0-045.0   3   1.85   8.70
045.0-055.0   5   4.97   9.64
055.0-065.0   5   4.68   6.92
065.0-075.0  14   3.45   5.42
075.0-085.0   9   2.91   4.69
085.0-095.0   9   2.82   5.82
095.0-105.0   2   0.75   3.25
105.0-115.0 N/A    N/A    N/A
115.0-125.0   2   1.50   3.90
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A   6.20
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A   8.10
205.0-215.0   1    N/A  14.20
215.0-225.0   3   2.15   6.70
225.0-235.0   1    N/A  10.10
235.0-245.0   6   5.85   7.75
245.0-255.0   8   3.16   7.54
255.0-265.0  11   4.05   5.71
265.0-275.0   8   2.33   8.18
275.0-285.0   9   3.55   7.67
285.0-295.0   1    N/A   7.60
295.0-305.0   1    N/A  10.40
305.0-315.0   1    N/A  13.60
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A   6.60
345.0-355.0 N/A    N/A    N/A
