355.0-005.0   3   0.90  10.07
005.0-015.0   8   1.90  13.49
015.0-025.0   6   3.72  15.78
025.0-035.0   3   1.82  16.60
035.0-045.0   4   1.78  16.43
045.0-055.0   1    N/A  20.80
055.0-065.0   5   3.38  15.70
065.0-075.0   2   1.45  16.25
075.0-085.0   2   1.10  14.10
085.0-095.0   4   2.16  14.83
095.0-105.0   5   1.28  11.74
105.0-115.0   6   1.94  11.37
115.0-125.0   4   1.70  10.60
125.0-135.0   5   1.21   8.30
135.0-145.0   5   2.08  10.32
145.0-155.0   1    N/A  13.40
155.0-165.0 N/A    N/A    N/A
165.0-175.0   4   1.84  13.20
175.0-185.0   3   3.21   9.57
185.0-195.0   7   1.26   7.71
195.0-205.0   6   0.82   5.43
205.0-215.0   4   0.90   6.35
215.0-225.0   3   0.59   3.60
225.0-235.0   2   0.55   3.95
235.0-245.0   3   1.67   4.23
245.0-255.0   3   0.82   8.07
255.0-265.0   3   4.28   7.70
265.0-275.0   2   0.60   9.50
275.0-285.0   5   1.57   7.02
285.0-295.0   7   1.82   8.07
295.0-305.0   5   1.07  11.38
305.0-315.0   3   0.80   9.20
315.0-325.0   7   1.89  10.59
325.0-335.0   1    N/A  10.10
335.0-345.0 N/A    N/A    N/A
345.0-355.0   4   0.93  10.93
