355.0-005.0   1    N/A   8.20
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   1.64  13.80
025.0-035.0   3   5.68  15.77
035.0-045.0 N/A    N/A    N/A
045.0-055.0   6   2.92  16.88
055.0-065.0   7   3.01  15.96
065.0-075.0   4   0.34  15.35
075.0-085.0   6   3.64  15.98
085.0-095.0   9   2.28  11.22
095.0-105.0   5   1.08   9.80
105.0-115.0   5   2.51  10.06
115.0-125.0   5   1.63   9.10
125.0-135.0   2   0.45   8.25
135.0-145.0   5   2.65  10.20
145.0-155.0   4   1.06   8.75
155.0-165.0 N/A    N/A    N/A
165.0-175.0   3   1.27   9.67
175.0-185.0   1    N/A   7.90
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   1.65   9.83
205.0-215.0   2   0.60   3.10
215.0-225.0   1    N/A   9.50
225.0-235.0   4   0.82   5.70
235.0-245.0   6   2.33   6.02
245.0-255.0   4   1.31   5.88
255.0-265.0   7   1.19  10.07
265.0-275.0   8   2.20  10.96
275.0-285.0   5   0.99   8.16
285.0-295.0   6   1.57   8.22
295.0-305.0   4   2.91  11.60
305.0-315.0   5   1.44  12.42
315.0-325.0   5   2.18   8.40
325.0-335.0   3   0.94   8.10
335.0-345.0   1    N/A   8.40
345.0-355.0   3   1.33   8.27
