355.0-005.0   3   1.04   3.17
005.0-015.0   6   1.95   3.17
015.0-025.0   3   1.35   2.10
025.0-035.0   4   1.82   4.77
035.0-045.0   5   1.42   2.74
045.0-055.0   2   2.00   4.70
055.0-065.0 N/A    N/A    N/A
065.0-075.0 N/A    N/A    N/A
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   2   1.30   3.80
125.0-135.0   1    N/A   2.90
135.0-145.0   5   1.95   2.46
145.0-155.0   3   1.33   5.37
155.0-165.0   6   2.67   3.68
165.0-175.0   6   1.65   5.05
175.0-185.0   2   2.00   5.90
185.0-195.0   4   1.41   2.20
195.0-205.0   5   3.10   3.00
205.0-215.0   4   1.08   1.48
215.0-225.0   2   0.75   1.75
225.0-235.0   4   1.27   3.45
235.0-245.0   1    N/A   5.20
245.0-255.0 N/A    N/A    N/A
255.0-265.0 N/A    N/A    N/A
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0   1    N/A   4.90
305.0-315.0   2   0.65   7.15
315.0-325.0   4   1.20   4.47
325.0-335.0   4   0.77   3.67
335.0-345.0   4   0.99   2.35
345.0-355.0   7   1.96   2.37
