355.0-005.0   5   2.28   3.56
005.0-015.0   6   2.56   4.72
015.0-025.0   3   1.28   5.20
025.0-035.0   7   2.88   7.11
035.0-045.0   2   2.40   7.30
045.0-055.0   5   1.07   8.20
055.0-065.0   2   2.55   5.85
065.0-075.0   1    N/A   4.00
075.0-085.0   1    N/A   4.60
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A   7.10
105.0-115.0   4   1.46   5.40
115.0-125.0   1    N/A   6.30
125.0-135.0   4   0.29   6.28
135.0-145.0   5   1.81   4.82
145.0-155.0   4   1.54   7.97
155.0-165.0   5   0.49   6.32
165.0-175.0   7   1.39   5.77
175.0-185.0   4   1.15   6.03
185.0-195.0   6   2.43   3.45
195.0-205.0   3   0.87   5.47
205.0-215.0   6   2.03   5.30
215.0-225.0   3   2.30   3.93
225.0-235.0   3   2.13   2.83
235.0-245.0   3   0.87   2.17
245.0-255.0   2   0.75   5.45
255.0-265.0   1    N/A   7.80
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A   5.90
285.0-295.0   2   1.85  10.75
295.0-305.0   3   1.11   5.87
305.0-315.0   3   0.66   8.63
315.0-325.0   4   3.52   6.22
325.0-335.0   6   1.70   6.82
335.0-345.0   5   2.13   7.16
345.0-355.0   6   2.02   7.90
