355.0-005.0   4   0.69   8.45
005.0-015.0   1    N/A  10.50
015.0-025.0   2   3.20  12.60
025.0-035.0   3   2.12  13.77
035.0-045.0   1    N/A  14.60
045.0-055.0   2   2.05  16.65
055.0-065.0   5   1.89  14.72
065.0-075.0   3   1.84  14.57
075.0-085.0   5   1.23  17.54
085.0-095.0   9   3.25  13.30
095.0-105.0   7   1.65  11.44
105.0-115.0   6   3.38  11.80
115.0-125.0   5   1.15  13.70
125.0-135.0   3   1.52  15.37
135.0-145.0   3   0.96  16.87
145.0-155.0   4   1.91  15.05
155.0-165.0   4   2.64  12.52
165.0-175.0   1    N/A  12.70
175.0-185.0   4   3.00   7.68
185.0-195.0   1    N/A   3.50
195.0-205.0   2   0.85   4.75
205.0-215.0   1    N/A   6.60
215.0-225.0   3   0.63   2.17
225.0-235.0   2   0.70   3.70
235.0-245.0   3   1.45   5.57
245.0-255.0   4   1.67   3.78
255.0-265.0   4   2.25   4.25
265.0-275.0   5   2.14   5.78
275.0-285.0   9   2.10   4.17
285.0-295.0   7   2.86   6.00
295.0-305.0   8   5.20  12.19
305.0-315.0   2   1.75  15.15
315.0-325.0   4   3.90  10.38
325.0-335.0   4   0.55   7.52
335.0-345.0   3   2.05   4.57
345.0-355.0   2   0.80   8.80
