355.0-005.0   1    N/A   7.90
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   2.10   9.50
045.0-055.0   2   4.70  20.00
055.0-065.0   4   4.92  18.35
065.0-075.0   9   4.10  18.38
075.0-085.0  14   4.11  18.85
085.0-095.0  11   2.62  11.60
095.0-105.0  11   2.61  12.63
105.0-115.0   8   1.89  13.26
115.0-125.0   2   2.20  11.30
125.0-135.0 N/A    N/A    N/A
135.0-145.0   3   1.56   5.63
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0   1    N/A   5.80
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   3.00   5.50
225.0-235.0   2   2.80  13.20
235.0-245.0   1    N/A   1.10
245.0-255.0   6   2.47   2.85
255.0-265.0  11   1.79   4.32
265.0-275.0  13   1.24   4.80
275.0-285.0  10   2.23   5.03
285.0-295.0  12   2.08   5.52
295.0-305.0   5   2.78  10.86
305.0-315.0   1    N/A  12.80
315.0-325.0   3   0.21   6.37
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
