355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  11.00
015.0-025.0   1    N/A   8.90
025.0-035.0   1    N/A  17.90
035.0-045.0   2   2.45  17.15
045.0-055.0   4   2.06  14.78
055.0-065.0   8   1.75  14.89
065.0-075.0  11   4.57  19.14
075.0-085.0   6   2.33  23.22
085.0-095.0   9   2.85  17.24
095.0-105.0   9   2.77  14.32
105.0-115.0   5   1.69  12.68
115.0-125.0   5   2.45  14.06
125.0-135.0 N/A    N/A    N/A
135.0-145.0   1    N/A  10.70
145.0-155.0   2   2.85  10.95
155.0-165.0   1    N/A  14.50
165.0-175.0   1    N/A   9.40
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A  11.80
195.0-205.0   1    N/A   7.30
205.0-215.0   1    N/A  14.30
215.0-225.0   1    N/A   2.30
225.0-235.0   2   0.55   2.75
235.0-245.0   8   2.00   3.20
245.0-255.0   9   1.64   3.42
255.0-265.0   7   1.77   5.19
265.0-275.0  11   1.79   5.79
275.0-285.0   5   2.30   5.50
285.0-295.0   9   2.04   9.18
295.0-305.0   7   2.50  11.84
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   2.12   5.33
335.0-345.0   1    N/A   5.20
345.0-355.0   1    N/A   5.70
