355.0-005.0 174   2.55   7.56
005.0-015.0 190   2.02   6.76
015.0-025.0 194   1.98   6.71
025.0-035.0 228   2.07   6.03
035.0-045.0 230   2.37   5.72
045.0-055.0 236   2.19   5.21
055.0-065.0 282   1.94   4.40
065.0-075.0 220   1.88   3.96
075.0-085.0 222   1.57   3.92
085.0-095.0 306   1.90   3.92
095.0-105.0 252   1.96   4.41
105.0-115.0 228   2.07   4.33
115.0-125.0 220   1.97   3.99
125.0-135.0 144   1.65   4.48
135.0-145.0 178   1.71   5.21
145.0-155.0 160   2.30   5.74
155.0-165.0 156   1.55   6.57
165.0-175.0 154   1.81   7.45
175.0-185.0 160   1.86   6.17
185.0-195.0 176   2.19   6.17
195.0-205.0 190   1.67   5.44
205.0-215.0 206   1.94   4.75
215.0-225.0 208   1.82   4.44
225.0-235.0 214   2.13   4.53
235.0-245.0 262   2.07   4.99
245.0-255.0 234   1.70   4.61
255.0-265.0 210   1.66   4.40
265.0-275.0 294   1.86   4.56
275.0-285.0 244   2.37   5.79
285.0-295.0 262   2.29   5.94
295.0-305.0 246   2.26   7.09
305.0-315.0 170   2.43   8.39
315.0-325.0 188   2.31   9.60
325.0-335.0 172   2.80   8.78
335.0-345.0 158   2.15   9.45
345.0-355.0 160   2.40   9.22
