355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A  10.20
025.0-035.0   1    N/A   9.00
035.0-045.0 N/A    N/A    N/A
045.0-055.0   2   1.90  12.50
055.0-065.0   6   3.28  18.78
065.0-075.0   8   3.17  17.70
075.0-085.0  15   3.56  15.03
085.0-095.0  11   2.24  13.30
095.0-105.0  12   2.66  11.80
105.0-115.0   8   3.75  10.26
115.0-125.0   1    N/A  11.90
125.0-135.0   1    N/A   8.50
135.0-145.0   1    N/A   9.90
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A   8.10
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A   8.90
205.0-215.0 N/A    N/A    N/A
215.0-225.0   1    N/A   3.70
225.0-235.0   1    N/A   7.00
235.0-245.0   4   1.71   5.90
245.0-255.0   5   2.78   5.22
255.0-265.0  11   2.33  11.50
265.0-275.0  14   2.90  12.34
275.0-285.0  10   1.37   8.81
285.0-295.0  13   1.93   8.98
295.0-305.0   5   3.48   8.54
305.0-315.0 N/A    N/A    N/A
315.0-325.0   2   0.25  10.05
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A   7.30
