355.0-005.0   1    N/A   5.70
005.0-015.0   4   3.11  19.72
015.0-025.0   5   2.61  17.60
025.0-035.0   6   2.93  20.15
035.0-045.0   8   1.88  20.84
045.0-055.0   7   2.23  24.30
055.0-065.0  12   3.36  21.55
065.0-075.0   9   2.18  20.56
075.0-085.0   1    N/A  19.60
085.0-095.0   1    N/A  14.00
095.0-105.0   2   3.80  17.10
105.0-115.0   1    N/A  16.90
115.0-125.0   1    N/A  12.20
125.0-135.0 N/A    N/A    N/A
135.0-145.0   2   0.40  13.40
145.0-155.0   2   2.65  12.85
155.0-165.0   3   1.79  13.53
165.0-175.0   3   1.68  10.50
175.0-185.0   1    N/A   2.30
185.0-195.0   3   1.33   6.57
195.0-205.0   5   1.69   7.82
205.0-215.0   6   1.17   6.17
215.0-225.0   6   1.56   6.27
225.0-235.0   7   1.86   5.10
235.0-245.0   7   1.20   4.63
245.0-255.0  12   3.17   7.18
255.0-265.0   6   4.20  11.13
265.0-275.0   1    N/A  11.10
275.0-285.0   2   1.20  13.10
285.0-295.0 N/A    N/A    N/A
295.0-305.0   2   2.45   9.25
305.0-315.0 N/A    N/A    N/A
315.0-325.0   2   2.20  14.70
325.0-335.0   1    N/A  11.20
335.0-345.0   4   1.67  13.35
345.0-355.0   3   0.59  12.70
