355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   7.40
035.0-045.0   6   4.09  11.23
045.0-055.0  17   5.10  23.26
055.0-065.0  19   2.39  23.48
065.0-075.0  16   2.75  22.33
075.0-085.0   6   3.28  23.10
085.0-095.0   1    N/A  24.20
095.0-105.0   1    N/A  29.20
105.0-115.0   1    N/A  23.70
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   5   0.90   4.06
225.0-235.0   5   2.36   5.72
235.0-245.0  15   2.19   4.35
245.0-255.0  18   0.71   4.13
255.0-265.0  14   1.43   5.11
265.0-275.0   6   2.03   7.55
275.0-285.0   3   2.14   6.03
285.0-295.0   2   0.70  13.60
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
