355.0-005.0   5   2.47  12.12
005.0-015.0   2   1.40  12.60
015.0-025.0   4   1.39  14.07
025.0-035.0 N/A    N/A    N/A
035.0-045.0   6   3.10  15.95
045.0-055.0   2   1.15  22.35
055.0-065.0   1    N/A  16.20
065.0-075.0   6   3.62  19.58
075.0-085.0   4   3.61  19.15
085.0-095.0  10   3.45  16.25
095.0-105.0   5   2.22  14.00
105.0-115.0   4   2.74  15.28
115.0-125.0   5   2.15  16.12
125.0-135.0   3   4.26  17.47
135.0-145.0   1    N/A  17.30
145.0-155.0   1    N/A  19.70
155.0-165.0   6   2.45  15.68
165.0-175.0   3   0.87  14.23
175.0-185.0   5   1.76  11.00
185.0-195.0   2   3.85  11.75
195.0-205.0   3   1.22   8.13
205.0-215.0   1    N/A   7.90
215.0-225.0   5   0.88   6.22
225.0-235.0   2   0.70   4.00
235.0-245.0   2   2.70   5.80
245.0-255.0   4   0.53   9.53
255.0-265.0   4   4.14  10.60
265.0-275.0   7   1.70  10.57
275.0-285.0   7   2.31  10.46
285.0-295.0   6   2.96  12.38
295.0-305.0   5   2.63  18.34
305.0-315.0   3   2.82  17.60
315.0-325.0   2   0.35  13.85
325.0-335.0   1    N/A   9.30
335.0-345.0   5   0.92   8.42
345.0-355.0   4   2.45  10.62
