355.0-005.0   7   1.54   8.01
005.0-015.0   9   2.32   9.09
015.0-025.0   4   2.92  12.10
025.0-035.0   6   2.16  13.70
035.0-045.0   5   2.84  16.64
045.0-055.0   6   3.35  16.47
055.0-065.0   1    N/A  20.70
065.0-075.0 N/A    N/A    N/A
075.0-085.0   1    N/A  12.50
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   5   1.41  12.98
125.0-135.0   1    N/A  12.90
135.0-145.0   6   1.89  12.20
145.0-155.0   4   1.22  13.12
155.0-165.0   7   1.65  13.91
165.0-175.0   7   2.47  14.29
175.0-185.0   6   1.75   9.97
185.0-195.0   7   1.59   8.61
195.0-205.0   6   2.14   8.42
205.0-215.0   6   2.68   6.70
215.0-225.0   2   0.25   5.05
225.0-235.0   5   2.01   4.62
235.0-245.0   5   0.84   3.26
245.0-255.0 N/A    N/A    N/A
255.0-265.0   1    N/A   8.40
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0   2   0.25  10.35
305.0-315.0   4   1.03  12.42
315.0-325.0   4   1.63   8.78
325.0-335.0   6   1.54   5.83
335.0-345.0   5   2.01   8.56
345.0-355.0   8   1.88   7.31
