355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   8.10
035.0-045.0   1    N/A   7.60
045.0-055.0   2   4.50  15.40
055.0-065.0   4   3.86  20.80
065.0-075.0   7   4.39  20.11
075.0-085.0  13   1.85  14.81
085.0-095.0  12   2.63  11.92
095.0-105.0  11   2.54  13.59
105.0-115.0  11   2.62  14.87
115.0-125.0   1    N/A  10.60
125.0-135.0   1    N/A  13.60
135.0-145.0   3   3.66  12.33
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A  10.80
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  10.70
215.0-225.0   1    N/A   3.70
225.0-235.0   1    N/A   7.50
235.0-245.0   2   4.95   7.75
245.0-255.0   5   2.21   6.40
255.0-265.0   9   1.87   9.61
265.0-275.0  15   2.44  10.82
275.0-285.0  10   1.56   9.50
285.0-295.0  11   2.02  10.76
295.0-305.0   7   2.81  15.03
305.0-315.0   2   2.90  13.40
315.0-325.0   3   2.19  10.53
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A   9.40
