355.0-005.0   8   1.56  10.97
005.0-015.0   5   2.15  10.28
015.0-025.0   8   1.60  12.77
025.0-035.0   5   2.03  15.86
035.0-045.0   6   3.78  16.22
045.0-055.0   5   0.90  19.36
055.0-065.0   6   4.24  22.08
065.0-075.0   3   1.43  21.10
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  14.40
105.0-115.0   3   3.28  13.77
115.0-125.0   2   0.10  19.70
125.0-135.0   1    N/A  15.80
135.0-145.0   5   2.64  13.70
145.0-155.0   3   1.60  13.47
155.0-165.0   2   4.05  12.85
165.0-175.0   4   1.44  11.93
175.0-185.0   8   1.38  11.00
185.0-195.0   5   1.82   7.88
195.0-205.0   7   2.18   7.49
205.0-215.0   4   0.97   7.83
215.0-225.0   6   0.96   4.47
225.0-235.0   5   0.77   5.80
235.0-245.0   5   1.77   3.38
245.0-255.0   5   1.11   5.66
255.0-265.0   1    N/A   5.80
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A  11.80
285.0-295.0   2   0.25   9.55
295.0-305.0   3   1.96  14.93
305.0-315.0 N/A    N/A    N/A
315.0-325.0   5   3.47  11.90
325.0-335.0   4   0.94   9.90
335.0-345.0   2   0.55   8.85
345.0-355.0   4   2.27   9.83
