355.0-005.0   1    N/A   4.10
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   2.35  17.75
045.0-055.0   3   1.74  16.93
055.0-065.0   4   1.61  25.02
065.0-075.0   7   1.89  26.30
075.0-085.0  13   3.82  23.12
085.0-095.0  10   3.30  19.08
095.0-105.0   9   3.91  20.49
105.0-115.0   7   2.40  18.99
115.0-125.0   2   3.65  14.45
125.0-135.0 N/A    N/A    N/A
135.0-145.0   3   2.27  12.27
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0   1    N/A   7.00
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   5.30   9.00
225.0-235.0   2   0.70  13.70
235.0-245.0   2   1.30   3.90
245.0-255.0   6   3.90   3.60
255.0-265.0   9   3.19   4.70
265.0-275.0  12   1.41   2.40
275.0-285.0   9   2.64   4.22
285.0-295.0   9   1.50   3.77
295.0-305.0   5   2.70   3.08
305.0-315.0   1    N/A   5.20
315.0-325.0   3   1.47   6.17
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
