355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  12.60
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0 N/A    N/A    N/A
065.0-075.0   2   3.45  33.05
075.0-085.0   1    N/A  30.60
085.0-095.0   4   2.81  25.67
095.0-105.0  14   2.77  20.24
105.0-115.0   8   5.23  22.30
115.0-125.0   9   3.45  24.69
125.0-135.0   6   3.61  26.18
135.0-145.0   8   6.27  24.09
145.0-155.0   4   3.90  21.12
155.0-165.0   2   2.50  17.60
165.0-175.0   1    N/A  11.50
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   5.60
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   1    N/A   4.90
255.0-265.0   2   0.80   2.60
265.0-275.0   1    N/A   7.60
275.0-285.0   6   1.22   2.00
285.0-295.0  12   1.53   2.12
295.0-305.0  13   2.33   3.37
305.0-315.0   6   2.03   3.65
315.0-325.0   7   1.94   5.49
325.0-335.0   6   2.24   3.97
335.0-345.0   4   3.70  10.10
345.0-355.0   1    N/A  17.00
