355.0-005.0   5   2.20  12.90
005.0-015.0   2   2.10  16.60
015.0-025.0   7   3.48  18.40
025.0-035.0   1    N/A  29.20
035.0-045.0   3   5.45  23.17
045.0-055.0   3   3.30  23.63
055.0-065.0   7   6.48  23.66
065.0-075.0   5   5.44  26.62
075.0-085.0   9   4.23  23.66
085.0-095.0   6   4.28  18.45
095.0-105.0   3   5.04  22.87
105.0-115.0   1    N/A  14.50
115.0-125.0   4   4.30  17.07
125.0-135.0   1    N/A  23.90
135.0-145.0   2   2.90  23.50
145.0-155.0   4   3.53  16.20
155.0-165.0   1    N/A  16.10
165.0-175.0   3   4.20  16.63
175.0-185.0   5   4.90  12.60
185.0-195.0   2   0.25  11.85
195.0-205.0   5   1.69  10.14
205.0-215.0   3   1.45   9.40
215.0-225.0   2   0.50   9.10
225.0-235.0   3   1.03   7.33
235.0-245.0   7   1.67   8.67
245.0-255.0   3   2.28   7.67
255.0-265.0   7   2.79  13.84
265.0-275.0  10   3.53  14.17
275.0-285.0   3   1.33  14.93
285.0-295.0   2   1.75  11.55
295.0-305.0   3   3.63  15.13
305.0-315.0   2   1.60  22.20
315.0-325.0   2   0.10  11.20
325.0-335.0   4   1.85  11.40
335.0-345.0   1    N/A  12.60
345.0-355.0   3   1.87  11.17
