355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  15.40
015.0-025.0   3   2.98  14.27
025.0-035.0   4   3.47  20.45
035.0-045.0   6   3.10  24.22
045.0-055.0   7   3.18  25.36
055.0-065.0   8   4.77  25.49
065.0-075.0   5   2.83  26.56
075.0-085.0   6   6.05  24.10
085.0-095.0   4   3.61  24.52
095.0-105.0   5   2.77  21.86
105.0-115.0   8   2.55  17.32
115.0-125.0   4   4.30  18.50
125.0-135.0   1    N/A  16.30
135.0-145.0   2   2.80  13.80
145.0-155.0 N/A    N/A    N/A
155.0-165.0   2   2.00  17.80
165.0-175.0   2   1.55  18.65
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A  16.20
195.0-205.0   3   1.07  11.97
205.0-215.0   3   3.14  11.97
215.0-225.0   5   2.52   9.72
225.0-235.0   7   2.17   8.16
235.0-245.0   7   1.92   8.49
245.0-255.0   5   2.75   8.96
255.0-265.0   7   3.90  12.30
265.0-275.0   5   1.08  11.80
275.0-285.0   4   1.58  11.72
285.0-295.0   8   2.19  13.60
295.0-305.0   6   3.88  15.50
305.0-315.0   1    N/A  12.40
315.0-325.0   2   1.40   8.50
325.0-335.0 N/A    N/A    N/A
335.0-345.0   2   3.35  11.65
345.0-355.0   2   3.30  14.80
