355.0-005.0   1    N/A  16.10
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  13.60
035.0-045.0 N/A    N/A    N/A
045.0-055.0 N/A    N/A    N/A
055.0-065.0 N/A    N/A    N/A
065.0-075.0   1    N/A  31.40
075.0-085.0   3   7.43  34.23
085.0-095.0   1    N/A  19.20
095.0-105.0   7   3.48  24.66
105.0-115.0  13   2.47  21.48
115.0-125.0  11   2.44  18.85
125.0-135.0   8   3.08  22.19
135.0-145.0   8   3.44  25.50
145.0-155.0   8   3.36  19.72
155.0-165.0   4   2.10  14.35
165.0-175.0   2   0.65  10.95
175.0-185.0   1    N/A   8.80
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A   5.40
215.0-225.0 N/A    N/A    N/A
225.0-235.0 N/A    N/A    N/A
235.0-245.0 N/A    N/A    N/A
245.0-255.0   1    N/A  14.50
255.0-265.0 N/A    N/A    N/A
265.0-275.0   3   3.71  11.47
275.0-285.0   2   7.00  11.80
285.0-295.0   9   3.08  15.17
295.0-305.0  15   5.96  17.00
305.0-315.0  11   1.84  25.40
315.0-325.0   8   4.61  15.74
325.0-335.0   9   2.27  12.04
335.0-345.0   6   1.70  15.65
345.0-355.0   2   0.75  15.95
