355.0-005.0   1    N/A  16.10
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   4.00  20.30
035.0-045.0   2   2.40  23.80
045.0-055.0   3   3.83  29.07
055.0-065.0   8   3.81  25.10
065.0-075.0   6   3.52  25.35
075.0-085.0  14   4.39  26.00
085.0-095.0  15   3.40  21.19
095.0-105.0   4   0.41  21.23
105.0-115.0   3   1.43  21.50
115.0-125.0   4   3.24  20.62
125.0-135.0   2   1.75  17.85
135.0-145.0   2   2.65  15.45
145.0-155.0   1    N/A  19.30
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A  10.80
175.0-185.0   1    N/A   8.80
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   1.10   6.20
215.0-225.0   1    N/A   6.60
225.0-235.0   3   1.03   7.37
235.0-245.0   4   3.74  12.23
245.0-255.0   6   3.73  13.77
255.0-265.0   9   4.78  16.26
265.0-275.0  16   2.28  15.09
275.0-285.0  12   1.99  13.85
285.0-295.0   2   2.50  12.30
295.0-305.0   4   1.98  17.50
305.0-315.0   4   2.40  18.93
315.0-325.0   2   4.65  17.85
325.0-335.0   1    N/A  12.40
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A  16.70
