355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   2.15  20.85
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  21.60
035.0-045.0   2   0.70  28.80
045.0-055.0   2   2.70  25.80
055.0-065.0   5   3.79  28.32
065.0-075.0   2   5.60  19.00
075.0-085.0   5   5.29  21.66
085.0-095.0   6   4.21  19.60
095.0-105.0   6   2.54  20.43
105.0-115.0  10   3.76  13.91
115.0-125.0   6   2.10  13.30
125.0-135.0   6   2.29  14.77
135.0-145.0   4   7.47  14.60
145.0-155.0   2   1.70  12.00
155.0-165.0   2   1.80   8.90
165.0-175.0   3   3.20   5.20
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   0.25   6.55
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  13.00
215.0-225.0 N/A    N/A    N/A
225.0-235.0   4   1.36   6.75
235.0-245.0   3   3.23   5.53
245.0-255.0   3   3.88   6.43
255.0-265.0   3   6.05  12.47
265.0-275.0   5   3.48  23.86
275.0-285.0   7   3.81  18.44
285.0-295.0   8   3.88  19.75
295.0-305.0   8   6.18  23.71
305.0-315.0   7   6.16  27.70
315.0-325.0   5   6.09  19.68
325.0-335.0   3   2.02  15.77
335.0-345.0   2   1.85  17.15
345.0-355.0   3   1.89  15.77
