355.0-005.0   1    N/A  20.80
005.0-015.0   1    N/A  17.60
015.0-025.0   3   2.95  15.23
025.0-035.0   5   3.47  23.58
035.0-045.0   8   2.36  28.96
045.0-055.0  10   5.55  25.70
055.0-065.0   5   3.95  26.34
065.0-075.0   7   2.43  23.67
075.0-085.0   6   4.92  21.83
085.0-095.0   4   3.35  24.52
095.0-105.0   4   3.89  21.82
105.0-115.0   2   0.50  22.80
115.0-125.0   2   1.15  14.95
125.0-135.0   2   0.85  16.45
135.0-145.0 N/A    N/A    N/A
145.0-155.0   3   1.60  13.53
155.0-165.0   3   2.05  10.83
165.0-175.0   1    N/A   3.40
175.0-185.0   1    N/A  11.10
185.0-195.0   1    N/A  12.10
195.0-205.0   3   0.42   9.57
205.0-215.0   3   1.90   4.07
215.0-225.0   7   1.84   5.84
225.0-235.0   8   1.23   6.44
235.0-245.0   8   2.34   7.66
245.0-255.0   6   4.23  11.88
255.0-265.0   5   4.62  18.54
265.0-275.0   7   2.15  14.43
275.0-285.0   4   3.42  14.15
285.0-295.0   3   3.12  17.77
295.0-305.0   1    N/A  20.00
305.0-315.0   3   2.03  22.13
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   1.53  14.27
335.0-345.0   2   0.30  13.60
345.0-355.0   2   3.75  14.45
