355.0-005.0   3   1.80  13.87
005.0-015.0   6   2.58  15.83
015.0-025.0   2   1.10  17.40
025.0-035.0   7   4.82  18.70
035.0-045.0   3   2.89  25.03
045.0-055.0   1    N/A  22.80
055.0-065.0   6   4.77  23.75
065.0-075.0   3   5.34  22.83
075.0-085.0   4   3.07  26.85
085.0-095.0  10   2.58  17.74
095.0-105.0   4   2.87  12.60
105.0-115.0   4   3.79  15.65
115.0-125.0   4   2.84  13.80
125.0-135.0   2   2.00  12.30
135.0-145.0   1    N/A  11.80
145.0-155.0   4   1.22   9.88
155.0-165.0   1    N/A   8.30
165.0-175.0   3   4.28  10.33
175.0-185.0   3   2.10   5.13
185.0-195.0   6   1.38   5.18
195.0-205.0   1    N/A   7.20
205.0-215.0   7   1.19   5.24
215.0-225.0   3   0.80   6.80
225.0-235.0   1    N/A   3.70
235.0-245.0   5   3.31   7.22
245.0-255.0   4   5.44   9.35
255.0-265.0   4   2.40  13.77
265.0-275.0  10   2.19  14.99
275.0-285.0   5   3.53  13.16
285.0-295.0   4   1.20  14.85
295.0-305.0   4   6.19  21.75
305.0-315.0   2   6.95  23.45
315.0-325.0 N/A    N/A    N/A
325.0-335.0   4   2.02  11.92
335.0-345.0   2   3.05   8.95
345.0-355.0   3   0.85  15.10
