355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A  11.10
025.0-035.0   1    N/A  14.40
035.0-045.0 N/A    N/A    N/A
045.0-055.0   2   9.15  20.95
055.0-065.0   6   6.29  25.30
065.0-075.0   8   4.20  23.66
075.0-085.0  15   4.20  23.03
085.0-095.0  11   4.79  19.86
095.0-105.0  12   3.34  17.84
105.0-115.0   8   2.58  13.60
115.0-125.0   1    N/A  13.80
125.0-135.0   1    N/A  14.40
135.0-145.0   1    N/A  14.00
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A   9.40
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A   9.90
205.0-215.0 N/A    N/A    N/A
215.0-225.0   1    N/A   4.10
225.0-235.0   1    N/A   7.20
235.0-245.0   4   3.86   6.28
245.0-255.0   5   2.29   7.26
255.0-265.0  11   4.20  14.62
265.0-275.0  14   3.48  15.94
275.0-285.0  10   1.92  12.32
285.0-295.0  13   2.49  14.12
295.0-305.0   5   1.78  16.96
305.0-315.0 N/A    N/A    N/A
315.0-325.0   2   1.35  16.25
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A  11.40
