355.0-005.0   4   1.77  16.88
005.0-015.0   4   1.90  18.70
015.0-025.0   5   3.53  25.04
025.0-035.0   9   5.44  22.70
035.0-045.0   7   5.62  28.07
045.0-055.0   7   5.27  25.97
055.0-065.0   8   3.93  24.07
065.0-075.0   5   2.76  29.22
075.0-085.0   1    N/A  22.70
085.0-095.0   1    N/A  13.00
095.0-105.0 N/A    N/A    N/A
105.0-115.0   2   2.15   9.95
115.0-125.0   3   1.77  15.83
125.0-135.0   1    N/A   7.80
135.0-145.0   3   1.58   8.30
145.0-155.0   4   1.73   8.55
155.0-165.0   2   0.50   9.00
165.0-175.0   2   3.00   4.80
175.0-185.0   4   1.33   6.38
185.0-195.0   4   0.57   5.15
195.0-205.0   5   1.36   5.22
205.0-215.0   8   1.51   4.22
215.0-225.0   7   2.40   6.63
225.0-235.0   5   1.36   6.00
235.0-245.0   8   0.80   6.60
245.0-255.0   6   2.40   7.97
255.0-265.0   3   1.03  12.53
265.0-275.0   1    N/A  14.60
275.0-285.0 N/A    N/A    N/A
285.0-295.0   2   2.10  13.60
295.0-305.0   2   2.85  16.35
305.0-315.0   2   4.15  18.45
315.0-325.0   1    N/A  20.40
325.0-335.0   6   2.17  13.95
335.0-345.0   1    N/A  16.00
345.0-355.0   3   1.94  15.87
