355.0-005.0   7   1.66  14.43
005.0-015.0   7   2.92  17.01
015.0-025.0   3   1.50  22.50
025.0-035.0   3   2.48  18.90
035.0-045.0   3   1.81  23.13
045.0-055.0   5   4.34  24.88
055.0-065.0   1    N/A  28.00
065.0-075.0 N/A    N/A    N/A
075.0-085.0   1    N/A  10.40
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   5   0.97   8.08
125.0-135.0   1    N/A   7.80
135.0-145.0   6   0.98   6.50
145.0-155.0   4   2.67   4.95
155.0-165.0   6   2.16   5.78
165.0-175.0   7   2.26   4.54
175.0-185.0   6   0.60   3.37
185.0-195.0   6   1.30   2.62
195.0-205.0   4   1.37   2.90
205.0-215.0   3   0.87   2.13
215.0-225.0   2   1.05   1.85
225.0-235.0   2   1.50   3.20
235.0-245.0   5   0.55   1.10
245.0-255.0 N/A    N/A    N/A
255.0-265.0   1    N/A   8.60
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0   2   2.20   8.30
305.0-315.0   4   2.80  16.65
315.0-325.0   4   3.70  12.67
325.0-335.0   6   2.48  10.88
335.0-345.0   5   2.25  13.04
345.0-355.0   7   2.21  13.59
