355.0-005.0   1    N/A  16.00
005.0-015.0   1    N/A  14.90
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  21.60
035.0-045.0 N/A    N/A    N/A
045.0-055.0   7   4.91  22.27
055.0-065.0   6   4.33  23.27
065.0-075.0  11   4.79  26.59
075.0-085.0   9   5.18  29.43
085.0-095.0  10   5.58  24.87
095.0-105.0   8   2.60  22.08
105.0-115.0   9   4.87  16.09
115.0-125.0   2   0.00  10.70
125.0-135.0   1    N/A  17.30
135.0-145.0   2   0.30  11.90
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   1.35   6.85
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  13.00
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   3.44   5.38
235.0-245.0   4   2.90   8.07
245.0-255.0   9   2.50  10.62
255.0-265.0  10   3.92  16.30
265.0-275.0  11   4.44  17.72
275.0-285.0   7   1.89  16.67
285.0-295.0  11   2.90  14.90
295.0-305.0   4   5.71  20.62
305.0-315.0   2   3.50  17.20
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   2.00  17.00
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
