355.0-005.0   5   2.46  17.70
005.0-015.0   3   3.35  20.20
015.0-025.0   9   3.94  22.02
025.0-035.0  12   5.16  25.97
035.0-045.0  11   5.59  30.13
045.0-055.0   9   6.58  27.83
055.0-065.0   7   5.00  26.09
065.0-075.0   1    N/A  12.50
075.0-085.0   1    N/A  10.40
085.0-095.0 N/A    N/A    N/A
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0   2   1.45   7.65
155.0-165.0   4   0.79   4.88
165.0-175.0   4   2.17   5.45
175.0-185.0   4   0.52   3.30
185.0-195.0   4   1.37   4.62
195.0-205.0   8   1.58   4.97
205.0-215.0  10   1.75   5.95
215.0-225.0   9   2.38   7.83
225.0-235.0   9   2.64   7.74
235.0-245.0   7   2.02   6.53
245.0-255.0   6   2.21   5.87
255.0-265.0   1    N/A   8.60
265.0-275.0 N/A    N/A    N/A
275.0-285.0 N/A    N/A    N/A
285.0-295.0 N/A    N/A    N/A
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   2   0.15  15.45
335.0-345.0   4   1.43  13.75
345.0-355.0   4   1.94  16.18
