355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   3.55  19.25
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   0.70  25.90
045.0-055.0   4   4.40  24.03
055.0-065.0   9   5.03  24.48
065.0-075.0  10   7.07  25.72
075.0-085.0   6   2.98  26.80
085.0-095.0   8   4.18  23.72
095.0-105.0   7   5.68  14.91
105.0-115.0   6   2.57  19.12
115.0-125.0   5   3.16  17.32
125.0-135.0   2   0.20  10.10
135.0-145.0   2   0.15   9.05
145.0-155.0 N/A    N/A    N/A
155.0-165.0   3   4.32  11.20
165.0-175.0   1    N/A   9.70
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   0.00   8.40
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   1.75   2.55
225.0-235.0   2   0.40   6.40
235.0-245.0   8   1.24   8.74
245.0-255.0   9   3.19  10.46
255.0-265.0   6   2.99  14.75
265.0-275.0   6   2.84  17.43
275.0-285.0   9   2.82  13.71
285.0-295.0   8   3.81  14.21
295.0-305.0   4   4.07  20.25
305.0-315.0   5   4.73  19.54
315.0-325.0   2   0.90   9.40
325.0-335.0 N/A    N/A    N/A
335.0-345.0   2   0.55  13.95
345.0-355.0   2   1.45  12.15
