355.0-005.0   8   2.87  15.47
005.0-015.0   5   3.35  15.06
015.0-025.0   8   2.51  17.56
025.0-035.0   5   1.91  22.86
035.0-045.0   6   3.85  22.03
045.0-055.0   4   2.42  23.12
055.0-065.0   6   4.85  29.32
065.0-075.0   3   2.00  26.70
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  17.30
105.0-115.0   3   2.32   9.63
115.0-125.0   2   0.35  14.95
125.0-135.0   1    N/A  10.80
135.0-145.0   5   3.44   9.00
145.0-155.0   3   1.38   7.57
155.0-165.0   2   2.25   6.45
165.0-175.0   4   1.79   6.05
175.0-185.0   8   2.03   5.12
185.0-195.0   5   1.93   5.00
195.0-205.0   7   1.98   5.89
205.0-215.0   4   1.74   5.55
215.0-225.0   6   0.91   4.88
225.0-235.0   5   0.74   6.84
235.0-245.0   4   2.29   5.90
245.0-255.0   5   2.15  10.50
255.0-265.0   1    N/A   4.60
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A  13.50
285.0-295.0   2   0.45  11.95
295.0-305.0   3   5.94  16.20
305.0-315.0 N/A    N/A    N/A
315.0-325.0   5   3.66  15.10
325.0-335.0   4   1.31  14.35
335.0-345.0   2   1.20  11.70
345.0-355.0   4   1.30  13.22
