355.0-005.0   1    N/A  10.20
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   0.85   9.67
025.0-035.0   3   0.76   9.93
035.0-045.0 N/A    N/A    N/A
045.0-055.0   6   2.34   9.63
055.0-065.0   7   2.93  11.26
065.0-075.0   4   1.74   7.97
075.0-085.0   6   1.94   8.48
085.0-095.0   9   2.06   9.74
095.0-105.0   5   1.58  10.26
105.0-115.0   5   2.37  12.38
115.0-125.0   5   2.59  13.06
125.0-135.0   2   1.05  11.75
135.0-145.0   5   3.19  16.58
145.0-155.0   4   4.02  11.62
155.0-165.0 N/A    N/A    N/A
165.0-175.0   3   1.45  13.43
175.0-185.0   1    N/A   9.50
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   1.64  13.10
205.0-215.0   2   3.40   7.20
215.0-225.0   1    N/A  11.00
225.0-235.0   4   1.33   8.53
235.0-245.0   6   3.11  10.40
245.0-255.0   4   2.15  11.23
255.0-265.0   7   3.15  17.21
265.0-275.0   8   5.00  15.15
275.0-285.0   5   2.22  18.46
285.0-295.0   6   2.43  17.55
295.0-305.0   4   2.65  21.80
305.0-315.0   5   4.05  20.84
315.0-325.0   5   3.78  13.58
325.0-335.0   3   4.17  10.90
335.0-345.0   1    N/A   9.00
345.0-355.0   3   3.01  10.23
