355.0-005.0   4   1.37  12.45
005.0-015.0   3   0.45  10.37
015.0-025.0   3   2.58  10.37
025.0-035.0   3   2.08  11.20
035.0-045.0   6   1.23  12.42
045.0-055.0   3   1.92  12.50
055.0-065.0   7   1.95   9.97
065.0-075.0   6   3.22   8.67
075.0-085.0   4   3.41   5.75
085.0-095.0   4   0.98   6.85
095.0-105.0   2   1.15   8.05
105.0-115.0   3   1.01   9.47
115.0-125.0   4   3.70  11.78
125.0-135.0   3   1.26  14.30
135.0-145.0   2   0.20  16.20
145.0-155.0   5   2.42  16.06
155.0-165.0   3   2.71  14.27
165.0-175.0   3   1.60  14.97
175.0-185.0   3   1.13  12.83
185.0-195.0   4   3.04  10.88
195.0-205.0   3   1.75   9.17
205.0-215.0   2   1.25   9.65
215.0-225.0   6   3.89   7.32
225.0-235.0   3   1.87   9.20
235.0-245.0   7   2.68  10.99
245.0-255.0   5   2.56  14.02
255.0-265.0   6   2.64  18.23
265.0-275.0   3   4.60  15.80
275.0-285.0   3   5.66  15.93
285.0-295.0   2   1.25  15.65
295.0-305.0   4   4.09  16.95
305.0-315.0   2   1.85  25.25
315.0-325.0   4   1.54  18.52
325.0-335.0   3   0.99  10.10
335.0-345.0   5   2.74  11.52
345.0-355.0   3   2.05  14.83
