355.0-005.0   2   0.15  10.65
005.0-015.0   3   3.56  11.73
015.0-025.0   2   1.50   7.90
025.0-035.0   2   1.80  11.10
035.0-045.0   3   1.67  11.27
045.0-055.0   1    N/A  18.60
055.0-065.0   2   1.75   7.45
065.0-075.0   2   2.30   8.00
075.0-085.0   3   2.02   8.13
085.0-095.0   4   1.44   9.40
095.0-105.0   9   3.47   9.47
105.0-115.0   6   1.24  12.18
115.0-125.0   8   3.44  12.60
125.0-135.0   2   0.65  12.75
135.0-145.0   5   2.56  16.48
145.0-155.0   2   1.90  14.90
155.0-165.0   7   1.76  14.40
165.0-175.0   5   2.56  11.92
175.0-185.0   1    N/A   8.60
185.0-195.0   4   2.54  11.35
195.0-205.0   2   2.00  11.00
205.0-215.0   1    N/A   9.50
215.0-225.0   4   2.32   7.58
225.0-235.0   1    N/A  10.40
235.0-245.0   1    N/A  12.60
245.0-255.0   2   2.80  13.70
255.0-265.0   3   2.46  13.33
265.0-275.0   2   4.00  16.70
275.0-285.0   5   4.58  14.58
285.0-295.0  11   2.12  16.83
295.0-305.0   6   4.29  18.48
305.0-315.0   6   4.88  22.28
315.0-325.0   3   1.35  15.30
325.0-335.0   3   2.45  11.67
335.0-345.0   8   3.64  11.10
345.0-355.0   5   1.28  13.50
