355.0-005.0 N/A    N/A    N/A
005.0-015.0   1    N/A  19.30
015.0-025.0   1    N/A   8.10
025.0-035.0   1    N/A  14.60
035.0-045.0   2   4.25   8.05
045.0-055.0   4   2.29  12.60
055.0-065.0   8   2.53   7.42
065.0-075.0  11   2.88   8.11
075.0-085.0   6   2.62   8.47
085.0-095.0   9   1.94   9.09
095.0-105.0   9   2.44   9.24
105.0-115.0   5   1.04  10.80
115.0-125.0   5   3.13   9.48
125.0-135.0 N/A    N/A    N/A
135.0-145.0   1    N/A  11.80
145.0-155.0   2   4.05  14.35
155.0-165.0   1    N/A  12.40
165.0-175.0   1    N/A   8.00
175.0-185.0 N/A    N/A    N/A
185.0-195.0   1    N/A  16.90
195.0-205.0   1    N/A  11.40
205.0-215.0   1    N/A  13.60
215.0-225.0   1    N/A   8.20
225.0-235.0   2   0.75  15.45
235.0-245.0   8   3.09   9.34
245.0-255.0   9   5.09  14.17
255.0-265.0   7   3.77  20.00
265.0-275.0  11   4.67  18.66
275.0-285.0   5   2.87  15.54
285.0-295.0   9   2.48  15.99
295.0-305.0   7   6.29  18.83
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   0.60  10.47
335.0-345.0   1    N/A  13.80
345.0-355.0   1    N/A   3.90
