355.0-005.0   2   1.20  11.70
005.0-015.0   3   4.04   6.53
015.0-025.0   3   1.71   7.20
025.0-035.0  12   2.38   9.63
035.0-045.0  16   3.47  10.70
045.0-055.0  11   4.43  10.40
055.0-065.0  11   3.98  10.56
065.0-075.0   3   2.33   6.47
075.0-085.0   2   0.40   1.30
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  14.60
105.0-115.0   1    N/A   9.90
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A  10.60
165.0-175.0   2   0.15  12.35
175.0-185.0   1    N/A  15.50
185.0-195.0   4   0.80   9.97
195.0-205.0   3   2.49   8.73
205.0-215.0   6   2.01   9.87
215.0-225.0  15   3.67  11.03
225.0-235.0  12   2.72  11.13
235.0-245.0   8   4.22  10.95
245.0-255.0   9   3.09  11.41
255.0-265.0   3   1.76  14.93
265.0-275.0   2   3.25  18.75
275.0-285.0   1    N/A  19.30
285.0-295.0   1    N/A  15.50
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A  12.30
345.0-355.0   2   0.25  12.15
