355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   3.05   6.15
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   1    N/A   7.90
045.0-055.0   5   2.14  13.64
055.0-065.0   4   0.79  10.18
065.0-075.0   7   2.22  11.26
075.0-085.0  10   2.73   8.72
085.0-095.0  10   3.81   6.88
095.0-105.0   7   2.44   9.27
105.0-115.0   6   2.91  12.28
115.0-125.0   8   3.07   9.71
125.0-135.0   2   2.20  15.20
135.0-145.0   2   2.25  11.25
145.0-155.0   1    N/A  13.20
155.0-165.0   2   0.80  12.60
165.0-175.0   1    N/A   8.00
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   1.00  12.10
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   3.10   8.72
235.0-245.0   4   2.23   8.50
245.0-255.0   5   4.89  11.22
255.0-265.0   9   3.76  19.21
265.0-275.0  12   4.23  18.63
275.0-285.0   6   2.07  14.02
285.0-295.0   5   3.98  16.84
295.0-305.0   9   4.34  18.96
305.0-315.0   5   1.25  20.12
315.0-325.0   2   3.35  11.95
325.0-335.0 N/A    N/A    N/A
335.0-345.0   3   1.72  15.43
345.0-355.0   1    N/A   3.90
