355.0-005.0   2   1.45  12.35
005.0-015.0   2   0.85  10.45
015.0-025.0   1    N/A   4.60
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   0.20  12.30
045.0-055.0 N/A    N/A    N/A
055.0-065.0   4   5.74  11.30
065.0-075.0   1    N/A   7.90
075.0-085.0   3   4.09  11.10
085.0-095.0   8   3.55   9.74
095.0-105.0  12   2.50   8.96
105.0-115.0   7   2.97  14.40
115.0-125.0   8   3.45  15.06
125.0-135.0   4   1.54  15.18
135.0-145.0   5   2.10  12.90
145.0-155.0   4   1.07  14.45
155.0-165.0   3   0.49  14.70
165.0-175.0   2   0.60  11.90
175.0-185.0   2   0.40  12.40
185.0-195.0   2   1.05  11.05
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  11.80
215.0-225.0   1    N/A   1.70
225.0-235.0   1    N/A  10.70
235.0-245.0   2   0.90  11.90
245.0-255.0   2   0.25  14.05
255.0-265.0   3   2.07  12.67
265.0-275.0   7   4.40  16.99
275.0-285.0   6   2.07  16.35
285.0-295.0  12   2.80  16.72
295.0-305.0  10   5.56  22.59
305.0-315.0   3   3.28  22.50
315.0-325.0   5   2.79  18.14
325.0-335.0   6   1.49  15.03
335.0-345.0   3   0.36  11.90
345.0-355.0   2   1.80  14.70
