355.0-005.0   4   2.10  11.50
005.0-015.0   2   1.20  12.60
015.0-025.0   4   0.94  11.10
025.0-035.0   8   1.41   9.29
035.0-045.0   1    N/A  14.60
045.0-055.0   5   1.59  12.84
055.0-065.0   4   1.36  10.85
065.0-075.0   3   0.82  10.07
075.0-085.0   3   0.86   9.50
085.0-095.0   9   2.03   9.16
095.0-105.0   6   2.76  10.48
105.0-115.0   3   1.89  14.63
115.0-125.0   5   4.29  15.80
125.0-135.0   3   0.08  13.50
135.0-145.0   1    N/A  12.10
145.0-155.0   1    N/A  13.40
155.0-165.0   4   1.87  14.97
165.0-175.0   2   1.85  13.65
175.0-185.0   4   2.12  12.70
185.0-195.0   2   1.35  10.75
195.0-205.0   4   1.59   9.93
205.0-215.0   8   3.49   8.88
215.0-225.0   1    N/A   8.60
225.0-235.0   4   1.20   8.62
235.0-245.0   3   2.49  11.50
245.0-255.0   4   0.84  13.07
255.0-265.0   3   2.22  18.70
265.0-275.0   7   3.74  15.54
275.0-285.0   8   2.57  15.24
285.0-295.0   3   2.08  17.53
295.0-305.0   4   4.28  20.70
305.0-315.0   4   1.69  17.70
315.0-325.0   1    N/A  14.10
325.0-335.0   2   1.55  15.65
335.0-345.0   4   2.70  12.05
345.0-355.0   2   1.30  14.70
