355.0-005.0   2   3.90  10.50
005.0-015.0 N/A    N/A    N/A
015.0-025.0   3   2.27  10.70
025.0-035.0   3   2.74  10.03
035.0-045.0   4   2.75  12.00
045.0-055.0   6   1.47  10.73
055.0-065.0   7   3.06   9.56
065.0-075.0   4   1.05  11.32
075.0-085.0   6   4.17   9.60
085.0-095.0   9   2.59   9.36
095.0-105.0   6   2.26   6.90
105.0-115.0   5   1.07  10.82
115.0-125.0   5   2.37  10.16
125.0-135.0   4   2.53  11.07
135.0-145.0   1    N/A  14.30
145.0-155.0   1    N/A  13.00
155.0-165.0   2   1.45  16.35
165.0-175.0   1    N/A  16.70
175.0-185.0   1    N/A   8.90
185.0-195.0 N/A    N/A    N/A
195.0-205.0   3   1.43   8.97
205.0-215.0   3   0.97  10.07
215.0-225.0   2   0.10   8.80
225.0-235.0   6   1.49  10.03
235.0-245.0   6   2.16  10.17
245.0-255.0   6   4.17  15.08
255.0-265.0   5   3.11  19.12
265.0-275.0   9   4.79  15.92
275.0-285.0   6   3.64  15.00
285.0-295.0   6   0.47  15.23
295.0-305.0   5   3.39  18.78
305.0-315.0   5   3.88  17.00
315.0-325.0   1    N/A  14.60
325.0-335.0   1    N/A  14.30
335.0-345.0   1    N/A   7.30
345.0-355.0   1    N/A  14.70
