355.0-005.0   1    N/A  12.00
005.0-015.0 N/A    N/A    N/A
015.0-025.0   2   0.90  10.50
025.0-035.0   1    N/A  15.70
035.0-045.0   1    N/A   3.70
045.0-055.0   5   1.03  14.46
055.0-065.0   3   2.06  10.60
065.0-075.0   7   4.45  11.66
075.0-085.0   6   4.41   7.62
085.0-095.0   5   1.55  10.70
095.0-105.0   7   3.81  12.11
105.0-115.0   8   3.21  14.12
115.0-125.0   5   3.78  16.98
125.0-135.0   7   3.48  13.33
135.0-145.0   3   2.30  18.40
145.0-155.0   3   2.63  13.27
155.0-165.0   2   2.40  20.20
165.0-175.0   2   1.55  22.85
175.0-185.0   1    N/A  22.80
185.0-195.0 N/A    N/A    N/A
195.0-205.0   2   2.10   7.80
205.0-215.0   1    N/A  13.90
215.0-225.0 N/A    N/A    N/A
225.0-235.0   5   2.28  12.04
235.0-245.0   3   2.15  12.17
245.0-255.0   4   4.47  14.33
255.0-265.0   6   3.24  20.77
265.0-275.0   5   1.19  23.02
275.0-285.0   7   3.76  19.51
285.0-295.0   8   2.78  17.40
295.0-305.0   5   2.68  24.52
305.0-315.0   6   6.57  22.73
315.0-325.0   8   5.45  24.34
325.0-335.0   3   1.18  13.20
335.0-345.0   1    N/A   7.30
345.0-355.0   3   2.66  17.17
