355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   9.30
035.0-045.0   1    N/A   4.70
045.0-055.0   2   1.00   5.20
055.0-065.0   4   4.11   8.00
065.0-075.0   7   3.04   8.59
075.0-085.0  13   2.53   8.53
085.0-095.0  12   3.41   6.96
095.0-105.0  11   3.45   8.85
105.0-115.0  11   3.07  11.15
115.0-125.0   1    N/A   6.10
125.0-135.0   1    N/A  12.60
135.0-145.0   3   2.64  11.67
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0   1    N/A  14.10
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  12.30
215.0-225.0   1    N/A   5.80
225.0-235.0   1    N/A   6.40
235.0-245.0   2   2.15   4.75
245.0-255.0   5   1.77  11.88
255.0-265.0   9   2.68  19.24
265.0-275.0  15   4.14  18.97
275.0-285.0  10   3.31  16.05
285.0-295.0  11   3.51  15.37
295.0-305.0   7   2.40  21.30
305.0-315.0   2   4.65  13.75
315.0-325.0   3   3.59  13.50
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0   1    N/A  15.20
