355.0-005.0  72   2.33  12.46
005.0-015.0  84   2.03  10.97
015.0-025.0  75   2.05   9.43
025.0-035.0 102   1.86  10.61
035.0-045.0  92   1.88  11.40
045.0-055.0  77   1.80  11.30
055.0-065.0  98   2.60   9.51
065.0-075.0  79   2.33   8.52
075.0-085.0  54   1.83   8.10
085.0-095.0  62   1.85   8.99
095.0-105.0  30   2.28  10.30
105.0-115.0  36   1.78  12.65
115.0-125.0  45   2.23  12.94
125.0-135.0  38   1.50  15.19
135.0-145.0  48   2.57  14.70
145.0-155.0  55   2.18  13.41
155.0-165.0  54   2.27  13.49
165.0-175.0  54   2.02  12.77
175.0-185.0  67   1.98  12.47
185.0-195.0  79   1.75  10.70
195.0-205.0  73   2.08  10.12
205.0-215.0  94   2.35   9.44
215.0-225.0  80   2.11   9.22
225.0-235.0  75   2.22   8.71
235.0-245.0  90   2.56   9.42
245.0-255.0  83   2.93  12.49
255.0-265.0  67   2.87  16.60
265.0-275.0  70   4.36  15.77
275.0-285.0  38   3.12  15.33
285.0-295.0  32   2.21  16.14
295.0-305.0  46   3.17  17.45
305.0-315.0  34   2.97  19.52
315.0-325.0  47   3.55  16.89
325.0-335.0  64   1.97  12.80
335.0-345.0  53   2.09  13.05
345.0-355.0  57   2.17  14.10
