355.0-005.0   6   1.95  14.77
005.0-015.0   7   4.68  17.39
015.0-025.0   8   3.77  12.93
025.0-035.0   2   2.90  12.90
035.0-045.0   5   3.16  11.98
045.0-055.0   2   1.10  11.90
055.0-065.0   5   2.80  10.20
065.0-075.0   1    N/A  10.80
075.0-085.0   4   2.86  10.48
085.0-095.0   1    N/A  14.10
095.0-105.0   3   1.15  10.80
105.0-115.0   4   2.53  15.05
115.0-125.0   7   2.45  11.29
125.0-135.0   3   2.09  13.07
135.0-145.0   4   1.99   8.50
145.0-155.0   3   4.83  13.23
155.0-165.0   1    N/A  11.70
165.0-175.0   2   1.05  13.35
175.0-185.0   6   3.64  14.27
185.0-195.0   6   2.60  12.58
195.0-205.0   8   4.46  11.78
205.0-215.0   3   4.01  15.13
215.0-225.0   4   3.70   9.95
225.0-235.0   3   1.43  10.67
235.0-245.0   4   2.67  10.35
245.0-255.0   2   1.70  14.90
255.0-265.0   3   2.32   9.93
265.0-275.0   1    N/A   4.40
275.0-285.0   3   5.14  16.70
285.0-295.0   1    N/A  14.90
295.0-305.0   9   1.96  16.31
305.0-315.0   4   1.88  19.83
315.0-325.0   5   5.49  18.64
325.0-335.0   3   2.82  16.23
335.0-345.0   1    N/A  13.90
345.0-355.0   2   4.40  14.10
