355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A   5.20
035.0-045.0   6   4.13  10.90
045.0-055.0  17   4.44  11.34
055.0-065.0  19   3.77   9.25
065.0-075.0  14   3.87   7.79
075.0-085.0   5   4.18   9.02
085.0-095.0   1    N/A   8.90
095.0-105.0   1    N/A  10.70
105.0-115.0   1    N/A  11.90
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   5   3.69   7.32
225.0-235.0   5   4.85   9.88
235.0-245.0  15   3.17   9.53
245.0-255.0  17   3.25   8.74
255.0-265.0  13   3.42   6.75
265.0-275.0   6   4.59   9.30
275.0-285.0   2   0.95   6.75
285.0-295.0   2   2.25  16.05
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
