355.0-005.0   2   2.55  11.75
005.0-015.0   2   1.40  12.20
015.0-025.0 N/A    N/A    N/A
025.0-035.0   2   3.45  17.45
035.0-045.0   1    N/A  20.10
045.0-055.0   5   5.43  13.60
055.0-065.0   7   1.71   9.13
065.0-075.0   8   3.54   7.20
075.0-085.0   6   3.74   5.45
085.0-095.0   9   3.40   8.47
095.0-105.0   5   3.04  10.66
105.0-115.0   4   4.61  16.52
115.0-125.0   4   3.51  15.20
125.0-135.0   6   4.80  12.98
135.0-145.0   3   1.09  12.73
145.0-155.0   2   0.10  11.50
155.0-165.0   1    N/A  10.90
165.0-175.0   1    N/A  18.50
175.0-185.0   2   3.80  11.90
185.0-195.0   2   1.45  12.55
195.0-205.0 N/A    N/A    N/A
205.0-215.0   2   2.20  10.70
215.0-225.0   1    N/A  13.20
225.0-235.0   4   2.34  11.55
235.0-245.0   7   2.06   9.20
245.0-255.0   5   2.82  11.16
255.0-265.0   8   3.28  12.26
265.0-275.0  10   3.02  12.32
275.0-285.0   3   2.99  10.97
285.0-295.0   6   3.98  12.70
295.0-305.0   5   4.26  19.38
305.0-315.0   4   2.58  18.75
315.0-325.0   5   3.88  18.28
325.0-335.0   2   0.25  14.25
335.0-345.0   1    N/A  12.70
345.0-355.0   1    N/A  19.60
