355.0-005.0 N/A    N/A    N/A
005.0-015.0   2   3.10  12.40
015.0-025.0 N/A    N/A    N/A
025.0-035.0 N/A    N/A    N/A
035.0-045.0   2   0.65  10.65
045.0-055.0   3   3.41   9.93
055.0-065.0   4   2.38   8.10
065.0-075.0   6   2.51   3.47
075.0-085.0   5   2.37   6.82
085.0-095.0  11   2.83   7.38
095.0-105.0   9   3.76   8.73
105.0-115.0   7   3.61  12.64
115.0-125.0   9   2.72  11.42
125.0-135.0   3   3.97  13.43
135.0-145.0   1    N/A  10.00
145.0-155.0   3   4.61  10.90
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0   2   0.55  15.35
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   2   8.15   9.35
225.0-235.0   2   0.35  10.05
235.0-245.0   3   1.73  14.03
245.0-255.0   4   2.27  11.30
255.0-265.0   6   1.57  12.03
265.0-275.0   8   2.74  13.02
275.0-285.0   9   3.60  10.97
285.0-295.0   7   3.10  13.79
295.0-305.0  11   4.77  15.57
305.0-315.0   7   5.02  18.26
315.0-325.0 N/A    N/A    N/A
325.0-335.0   4   1.18  15.38
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
