355.0-005.0   3   2.02  13.93
005.0-015.0   7   3.49   9.60
015.0-025.0   8   3.60  11.48
025.0-035.0  14   4.44  11.39
035.0-045.0   6   2.06  12.33
045.0-055.0   7   2.36  11.24
055.0-065.0   3   2.77  10.37
065.0-075.0   2   3.10  11.70
075.0-085.0   3   1.44   8.93
085.0-095.0   1    N/A   8.90
095.0-105.0 N/A    N/A    N/A
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A  15.30
125.0-135.0   1    N/A   9.70
135.0-145.0   4   4.60   8.10
145.0-155.0   1    N/A  12.60
155.0-165.0   4   1.78  14.50
165.0-175.0   4   3.26  22.57
175.0-185.0   2   1.50  17.20
185.0-195.0   5   5.08  11.02
195.0-205.0  10   5.29  11.75
205.0-215.0  10   4.01  10.21
215.0-225.0   9   1.90  10.92
225.0-235.0   6   2.37  11.00
235.0-245.0   3   5.71  11.57
245.0-255.0   3   1.43   7.27
255.0-265.0   2   0.95  11.65
265.0-275.0   2   0.05  10.15
275.0-285.0   1    N/A   7.70
285.0-295.0 N/A    N/A    N/A
295.0-305.0   1    N/A  18.40
305.0-315.0 N/A    N/A    N/A
315.0-325.0   4   2.26  17.35
325.0-335.0   2   0.70  13.40
335.0-345.0   4   2.06  15.95
345.0-355.0   3   1.76  15.07
