355.0-005.0   2   0.70  17.30
005.0-015.0   1    N/A  11.70
015.0-025.0   3   3.31  18.30
025.0-035.0   4   3.79  13.67
035.0-045.0   6   1.42  13.77
045.0-055.0   6   4.87  14.80
055.0-065.0   8   3.33  10.65
065.0-075.0  14   3.44   7.13
075.0-085.0   6   3.41   7.13
085.0-095.0   1    N/A  14.40
095.0-105.0   1    N/A   9.00
105.0-115.0   2   2.85  14.95
115.0-125.0   3   1.77   8.20
125.0-135.0   2   1.90  13.40
135.0-145.0 N/A    N/A    N/A
145.0-155.0   2   8.35  16.95
155.0-165.0   3   4.35  21.73
165.0-175.0   1    N/A  10.60
175.0-185.0   2   4.85  15.55
185.0-195.0   1    N/A   1.40
195.0-205.0   3   2.82  10.43
205.0-215.0   4   4.17   9.90
215.0-225.0   5   3.52  14.04
225.0-235.0   6   4.10  11.05
235.0-245.0   5   3.66   9.16
245.0-255.0   9   1.99   9.79
255.0-265.0  12   3.16  13.23
265.0-275.0   3   2.24   9.90
275.0-285.0   2   0.15  14.05
285.0-295.0 N/A    N/A    N/A
295.0-305.0   4   2.04  13.05
305.0-315.0   3   1.43  14.67
315.0-325.0 N/A    N/A    N/A
325.0-335.0   1    N/A  12.70
335.0-345.0   4   3.40  16.20
345.0-355.0   1    N/A  11.90
