355.0-005.0   5   1.90  13.80
005.0-015.0   8   2.37  13.34
015.0-025.0   3   1.98   9.90
025.0-035.0   7   1.45  11.59
035.0-045.0   3   1.44  18.10
045.0-055.0   5   2.51  12.46
055.0-065.0   4   5.14   7.30
065.0-075.0   1    N/A   9.00
075.0-085.0   1    N/A   5.60
085.0-095.0 N/A    N/A    N/A
095.0-105.0   1    N/A  19.20
105.0-115.0   4   4.85  10.45
115.0-125.0   1    N/A  10.30
125.0-135.0   4   3.11  13.90
135.0-145.0   5   4.62  14.30
145.0-155.0   4   3.53  11.57
155.0-165.0   5   5.38  11.88
165.0-175.0   7   2.92  15.83
175.0-185.0   4   3.20  15.53
185.0-195.0   7   3.02  13.14
195.0-205.0   4   4.95   9.80
205.0-215.0   6   4.55  10.33
215.0-225.0   3   0.34  13.33
225.0-235.0   4   7.88  15.90
235.0-245.0   4   2.87  11.20
245.0-255.0   3   2.12   7.90
255.0-265.0   1    N/A  10.80
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A  15.60
285.0-295.0   2   4.60  13.00
295.0-305.0   3   2.24  14.83
305.0-315.0   3   0.98  13.97
315.0-325.0   4   3.34  21.23
325.0-335.0   6   2.22  18.27
335.0-345.0   5   2.69  20.20
345.0-355.0   6   3.19  19.85
