355.0-005.0   9   3.89  19.08
005.0-015.0   5   5.53  14.08
015.0-025.0   2   7.05  15.45
025.0-035.0   3   1.83  12.27
035.0-045.0   3   6.28  15.70
045.0-055.0   1    N/A  19.50
055.0-065.0   2   0.15  18.45
065.0-075.0   2   0.50   9.10
075.0-085.0   1    N/A  13.20
085.0-095.0   1    N/A  11.90
095.0-105.0   1    N/A  12.20
105.0-115.0   5   5.77  16.92
115.0-125.0   8   3.59  14.05
125.0-135.0   4   2.58  14.68
135.0-145.0   7   6.60  13.19
145.0-155.0   1    N/A  15.80
155.0-165.0   6   1.90  17.62
165.0-175.0   5   5.43  15.80
175.0-185.0   9   2.43  18.53
185.0-195.0   3   7.40  10.00
195.0-205.0   4   2.32   8.90
205.0-215.0   2   0.15  14.15
215.0-225.0   4   3.59  12.22
225.0-235.0   1    N/A  14.80
235.0-245.0   2   1.10  12.30
245.0-255.0   1    N/A   9.20
255.0-265.0   1    N/A   6.50
265.0-275.0   2   3.50  16.10
275.0-285.0   1    N/A  25.70
285.0-295.0   1    N/A  13.80
295.0-305.0   8   3.23  22.96
305.0-315.0   7   7.35  23.83
315.0-325.0   8   8.98  24.07
325.0-335.0   1    N/A  23.50
335.0-345.0   6   3.43  22.75
345.0-355.0   5   2.78  20.68
