355.0-005.0   6   3.04  13.17
005.0-015.0  16   4.37  15.22
015.0-025.0  10   2.94  13.26
025.0-035.0   6   5.43  15.62
035.0-045.0   5   5.22  13.34
045.0-055.0   1    N/A  14.90
055.0-065.0   2   3.70   7.40
065.0-075.0   1    N/A   9.20
075.0-085.0 N/A    N/A    N/A
085.0-095.0 N/A    N/A    N/A
095.0-105.0   2   1.50  12.20
105.0-115.0 N/A    N/A    N/A
115.0-125.0   1    N/A   7.10
125.0-135.0 N/A    N/A    N/A
135.0-145.0   5   3.71  10.08
145.0-155.0   4   0.70  14.45
155.0-165.0   5   7.85  15.20
165.0-175.0   5   4.35  16.58
175.0-185.0   4   3.21  17.95
185.0-195.0  13   4.99  14.48
195.0-205.0  12   3.79  11.38
205.0-215.0   5   3.30  13.82
215.0-225.0   6   4.39  10.78
225.0-235.0   3   1.90   9.47
235.0-245.0   1    N/A   6.20
245.0-255.0   2   0.70  19.20
255.0-265.0 N/A    N/A    N/A
265.0-275.0 N/A    N/A    N/A
275.0-285.0   1    N/A  15.00
285.0-295.0   1    N/A  18.30
295.0-305.0 N/A    N/A    N/A
305.0-315.0   1    N/A  20.50
315.0-325.0   4   2.75  18.90
325.0-335.0   4   1.00  15.38
335.0-345.0   4   1.61  18.33
345.0-355.0   6   2.30  16.85
