355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A   7.70
025.0-035.0   1    N/A   5.60
035.0-045.0   4   2.84   8.75
045.0-055.0   4   1.98   3.35
055.0-065.0   4   2.15   3.80
065.0-075.0   5   3.51   5.80
075.0-085.0   5   0.41   4.26
085.0-095.0   6   4.20   5.48
095.0-105.0   3   1.13   2.70
105.0-115.0 N/A    N/A    N/A
115.0-125.0   2   2.85   6.25
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A   6.40
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A   6.00
205.0-215.0   1    N/A   6.20
215.0-225.0   3   3.14   4.07
225.0-235.0   1    N/A   7.60
235.0-245.0   6   2.30   6.90
245.0-255.0   4   2.43   3.15
255.0-265.0   3   3.01   3.87
265.0-275.0   5   2.68   3.96
275.0-285.0   8   4.17   4.46
285.0-295.0   1    N/A   1.90
295.0-305.0   1    N/A  11.10
305.0-315.0   1    N/A   3.20
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A   8.10
345.0-355.0 N/A    N/A    N/A
