355.0-005.0   3   2.02  10.47
005.0-015.0   1    N/A  10.20
015.0-025.0   2   2.45   6.25
025.0-035.0   3   0.19  11.67
035.0-045.0   1    N/A   6.10
045.0-055.0   2   1.20   4.40
055.0-065.0   5   1.34   4.26
065.0-075.0   2   2.95   5.95
075.0-085.0   5   1.97   3.44
085.0-095.0   8   2.17   3.66
095.0-105.0   7   1.79   5.36
105.0-115.0   6   2.59   4.13
115.0-125.0   5   1.70   4.46
125.0-135.0   3   2.55   6.40
135.0-145.0   2   1.90   7.70
145.0-155.0   4   3.78   8.82
155.0-165.0   3   1.59   9.33
165.0-175.0   1    N/A   9.00
175.0-185.0   3   1.07   6.90
185.0-195.0   1    N/A  10.20
195.0-205.0   2   3.20   7.90
205.0-215.0   1    N/A   7.60
215.0-225.0   3   0.73   5.13
225.0-235.0   2   0.05   4.85
235.0-245.0   3   1.08   3.87
245.0-255.0   4   2.27   5.70
255.0-265.0   3   1.13   5.83
265.0-275.0   5   2.10   4.94
275.0-285.0   8   3.32   7.00
285.0-295.0   7   3.67   6.03
295.0-305.0   8   2.96   8.26
305.0-315.0   2   0.30   9.20
315.0-325.0   3   2.34  14.77
325.0-335.0   4   0.45  13.95
335.0-345.0   2   0.75  14.25
345.0-355.0   2   1.45   9.55
