355.0-005.0 176   2.39   8.50
005.0-015.0 196   2.55   7.49
015.0-025.0 208   2.28   7.31
025.0-035.0 246   2.28   6.99
035.0-045.0 236   2.31   6.62
045.0-055.0 256   1.90   5.30
055.0-065.0 282   1.75   4.34
065.0-075.0 230   1.67   4.06
075.0-085.0 254   1.93   4.28
085.0-095.0 320   2.03   4.25
095.0-105.0 274   1.99   4.88
105.0-115.0 250   2.14   4.97
115.0-125.0 242   2.17   4.73
125.0-135.0 160   1.88   5.14
135.0-145.0 184   1.83   5.22
145.0-155.0 164   2.25   6.58
155.0-165.0 154   2.16   7.90
165.0-175.0 152   2.04   8.29
175.0-185.0 164   2.15   7.22
185.0-195.0 180   2.23   7.52
195.0-205.0 204   2.11   6.63
205.0-215.0 220   2.27   5.54
215.0-225.0 216   2.04   5.14
225.0-235.0 232   2.13   5.27
235.0-245.0 274   1.93   5.01
245.0-255.0 234   1.94   4.96
255.0-265.0 228   1.96   5.03
265.0-275.0 322   1.92   5.20
275.0-285.0 250   2.31   6.99
285.0-295.0 298   2.69   7.36
295.0-305.0 266   2.19   8.45
305.0-315.0 190   2.46   9.74
315.0-325.0 194   2.54  10.46
325.0-335.0 174   2.45   9.39
335.0-345.0 164   1.96   9.69
345.0-355.0 158   2.07   9.75
