355.0-005.0   3   1.13  11.40
005.0-015.0   8   1.54  15.19
015.0-025.0   6   4.26  16.83
025.0-035.0   3   3.40  19.70
035.0-045.0   4   1.31  19.55
045.0-055.0   1    N/A  25.60
055.0-065.0   5   4.84  18.68
065.0-075.0   2   5.45  21.95
075.0-085.0   2   3.35  17.45
085.0-095.0   4   4.77  20.30
095.0-105.0   5   2.46  15.50
105.0-115.0   6   1.87  17.23
115.0-125.0   4   2.62  15.82
125.0-135.0   5   2.70  13.78
135.0-145.0   5   2.62  14.14
145.0-155.0   1    N/A  19.70
155.0-165.0 N/A    N/A    N/A
165.0-175.0   4   2.79  17.15
175.0-185.0   3   2.79  15.90
185.0-195.0   7   1.49  12.97
195.0-205.0   6   2.64   9.47
205.0-215.0   4   0.78  10.50
215.0-225.0   3   0.17   6.77
225.0-235.0   2   0.65   7.45
235.0-245.0   3   1.98   7.80
245.0-255.0   3   3.06  13.17
255.0-265.0   3   4.63  10.87
265.0-275.0   2   0.75  13.55
275.0-285.0   5   1.38  10.44
285.0-295.0   7   1.08  14.79
295.0-305.0   5   1.38  17.28
305.0-315.0   3   2.81  12.57
315.0-325.0   7   3.71  14.37
325.0-335.0   1    N/A  12.90
335.0-345.0 N/A    N/A    N/A
345.0-355.0   4   1.06  12.80
