355.0-005.0 N/A    N/A    N/A
005.0-015.0   3   1.38  17.27
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  18.60
035.0-045.0   2   0.00  21.40
045.0-055.0   2   0.80  22.00
055.0-065.0   5   5.25  23.36
065.0-075.0   2   1.40  17.10
075.0-085.0   5   3.80  19.76
085.0-095.0   6   2.79  22.58
095.0-105.0   6   4.28  20.35
105.0-115.0  10   2.62  16.62
115.0-125.0   6   2.12  14.43
125.0-135.0   8   5.43  12.70
135.0-145.0   4   3.05  16.60
145.0-155.0   2   2.20  16.10
155.0-165.0   2   2.25  15.35
165.0-175.0   3   1.87  16.73
175.0-185.0 N/A    N/A    N/A
185.0-195.0   3   3.16  13.27
195.0-205.0 N/A    N/A    N/A
205.0-215.0   1    N/A  19.50
215.0-225.0 N/A    N/A    N/A
225.0-235.0   4   4.94  11.00
235.0-245.0   3   4.81  10.27
245.0-255.0   3   1.93   6.70
255.0-265.0   3   4.13  12.00
265.0-275.0   5   2.56  16.58
275.0-285.0   7   2.30  13.61
285.0-295.0   8   3.17  14.15
295.0-305.0   8   2.24  19.20
305.0-315.0   8   6.29  18.11
315.0-325.0   6   5.11  14.52
325.0-335.0   3   0.61  12.13
335.0-345.0   2   0.35  13.85
345.0-355.0   3   2.08  11.40
