355.0-005.0   1    N/A  17.20
005.0-015.0   1    N/A  15.40
015.0-025.0   3   1.78  12.60
025.0-035.0   6   3.58  18.75
035.0-045.0   8   2.69  23.81
045.0-055.0  10   4.17  22.47
055.0-065.0   5   3.97  22.38
065.0-075.0   7   2.74  20.19
075.0-085.0   6   3.95  19.25
085.0-095.0   4   2.38  20.10
095.0-105.0   4   2.44  19.98
105.0-115.0   2   1.45  18.85
115.0-125.0   2   0.25  14.95
125.0-135.0   2   1.05  13.95
135.0-145.0 N/A    N/A    N/A
145.0-155.0   3   1.58  14.43
155.0-165.0   3   0.28  13.90
165.0-175.0   1    N/A  18.20
175.0-185.0   1    N/A  21.20
185.0-195.0   1    N/A  16.60
195.0-205.0   3   1.26  11.00
205.0-215.0   4   2.09  13.60
215.0-225.0   7   2.21   9.49
225.0-235.0   8   1.08   9.03
235.0-245.0   8   1.42   8.12
245.0-255.0   6   2.67  10.38
255.0-265.0   5   3.07  14.20
265.0-275.0   7   1.09  13.39
275.0-285.0   4   0.82  13.30
285.0-295.0   3   1.44  14.77
295.0-305.0   1    N/A  16.50
305.0-315.0   3   1.16  17.07
315.0-325.0 N/A    N/A    N/A
325.0-335.0   3   0.62  11.30
335.0-345.0   2   0.60  11.10
345.0-355.0   2   1.75  12.15
