355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0   1    N/A  11.00
025.0-035.0   1    N/A  11.10
035.0-045.0   4   2.74  17.00
045.0-055.0   5   2.40  22.36
055.0-065.0   9   3.74  23.14
065.0-075.0  17   2.49  22.05
075.0-085.0  12   3.91  27.63
085.0-095.0  10   4.17  28.94
095.0-105.0   5   2.95  21.48
105.0-115.0 N/A    N/A    N/A
115.0-125.0   2   1.25  14.15
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A  10.30
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0   1    N/A  12.50
205.0-215.0   1    N/A  11.20
215.0-225.0   3   2.85   9.93
225.0-235.0   2   4.45   8.65
235.0-245.0   7   3.39   8.21
245.0-255.0  13   2.48   7.59
255.0-265.0  12   2.29   9.46
265.0-275.0  11   1.84  12.22
275.0-285.0  11   2.18  11.95
285.0-295.0   3   4.21   9.93
295.0-305.0   1    N/A  16.00
305.0-315.0   1    N/A  15.70
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A  10.30
345.0-355.0 N/A    N/A    N/A
