355.0-005.0   2   0.95  15.05
005.0-015.0   4   1.77  13.80
015.0-025.0   5   1.27  17.20
025.0-035.0   8   1.75  15.65
035.0-045.0   5   4.52  17.44
045.0-055.0   5   2.88  19.94
055.0-065.0   2   2.30  20.80
065.0-075.0   3   0.26  23.97
075.0-085.0   4   2.78  18.48
085.0-095.0   4   7.77  21.47
095.0-105.0   3   3.48  15.77
105.0-115.0   7   1.89  16.37
115.0-125.0   5   2.94  15.12
125.0-135.0   3   2.92  14.17
135.0-145.0   4   4.11  16.45
145.0-155.0   1    N/A  13.50
155.0-165.0   2   0.05  11.65
165.0-175.0   1    N/A  15.70
175.0-185.0   2   0.50  20.20
185.0-195.0   4   2.61  13.97
195.0-205.0   5   1.54  10.78
205.0-215.0   8   1.36   9.84
215.0-225.0   4   1.57   8.10
225.0-235.0   3   0.00   9.20
235.0-245.0   4   2.00   8.28
245.0-255.0   3   2.10  15.67
255.0-265.0   3   3.91  10.43
265.0-275.0   5   3.06  13.32
275.0-285.0   4   1.36  12.05
285.0-295.0   7   1.16  14.01
295.0-305.0   2   2.00  14.20
305.0-315.0   6   2.23  15.58
315.0-325.0   4   2.98  12.88
325.0-335.0 N/A    N/A    N/A
335.0-345.0   3   1.43  10.33
345.0-355.0   1    N/A  12.50
