355.0-005.0 N/A    N/A    N/A
005.0-015.0 N/A    N/A    N/A
015.0-025.0 N/A    N/A    N/A
025.0-035.0   1    N/A  10.30
035.0-045.0   6   3.76  14.33
045.0-055.0  17   5.42  26.40
055.0-065.0  19   2.31  26.61
065.0-075.0  16   2.46  24.62
075.0-085.0   6   2.45  23.90
085.0-095.0   1    N/A  23.80
095.0-105.0   1    N/A  30.00
105.0-115.0   1    N/A  24.40
115.0-125.0 N/A    N/A    N/A
125.0-135.0 N/A    N/A    N/A
135.0-145.0 N/A    N/A    N/A
145.0-155.0 N/A    N/A    N/A
155.0-165.0 N/A    N/A    N/A
165.0-175.0 N/A    N/A    N/A
175.0-185.0 N/A    N/A    N/A
185.0-195.0 N/A    N/A    N/A
195.0-205.0 N/A    N/A    N/A
205.0-215.0 N/A    N/A    N/A
215.0-225.0   5   0.92   5.14
225.0-235.0   5   2.73   6.00
235.0-245.0  15   2.12   5.30
245.0-255.0  18   0.71   5.49
255.0-265.0  14   1.56   6.71
265.0-275.0   6   1.43   8.95
275.0-285.0   3   1.80   6.93
285.0-295.0   2   0.15  13.55
295.0-305.0 N/A    N/A    N/A
305.0-315.0 N/A    N/A    N/A
315.0-325.0 N/A    N/A    N/A
325.0-335.0 N/A    N/A    N/A
335.0-345.0 N/A    N/A    N/A
345.0-355.0 N/A    N/A    N/A
