355.0-005.0   2   1.50  14.10
005.0-015.0   4   1.21  14.40
015.0-025.0   6   2.24  15.90
025.0-035.0   6   3.00  18.03
035.0-045.0   3   4.95  16.90
045.0-055.0   3   3.71  20.20
055.0-065.0   3   4.45  22.63
065.0-075.0   6   4.11  18.53
075.0-085.0   2   1.45  21.25
085.0-095.0   3   5.70  26.77
095.0-105.0   9   3.13  18.01
105.0-115.0   7   1.73  15.39
115.0-125.0 N/A    N/A    N/A
125.0-135.0   5   2.28  14.86
135.0-145.0   5   3.81  14.94
145.0-155.0 N/A    N/A    N/A
155.0-165.0   1    N/A  18.00
165.0-175.0   2   1.35  16.55
175.0-185.0   2   1.00  14.70
185.0-195.0   4   3.14  12.23
195.0-205.0   5   1.81  10.88
205.0-215.0   7   1.68   9.87
215.0-225.0   2   1.00   7.90
225.0-235.0   4   2.16   8.25
235.0-245.0   3   0.97  10.27
245.0-255.0   3   2.50  12.37
255.0-265.0   4   5.18  14.25
265.0-275.0   4   1.42  14.82
275.0-285.0   3   0.99  11.10
285.0-295.0  10   1.78  12.79
295.0-305.0   3   2.46  18.23
305.0-315.0   3   4.27  15.53
315.0-325.0   7   3.52  13.17
325.0-335.0 N/A    N/A    N/A
335.0-345.0   1    N/A  11.60
345.0-355.0   2   0.75   9.55
